feature,correlation_with_target,abs_corr
Blur,-0.0235403461615651,0.0235403461615651
Group,0.01646882194793144,0.01646882194793144
Accessory,0.013287283765039444,0.013287283765039444
Subject Focus,-0.009853058956745691,0.009853058956745691
Face,0.00801771909329541,0.00801771909329541
Eyes,-0.006686236937705297,0.006686236937705297
Info,-0.004734739243659731,0.004734739243659731
Human,0.003982899682517234,0.003982899682517234
Occlusion,0.00197898086550236,0.00197898086550236
Collage,0.001732301183691915,0.001732301183691915
Action,-0.001372995280071697,0.001372995280071697
Near,0.001001207637912498,0.001001207637912498
