fold,epoch,train_loss,valid_loss,valid_rmse
0,1,0.0663575179304086,0.0435206839634526,20.86241784922412
0,2,0.0342686749964712,0.0408308379832775,20.207102608974136
0,3,0.0236242237245483,0.0416032957934564,20.393918106924747
0,4,0.0173328842276767,0.0406820026016043,20.170836382779456
0,5,0.0151314939101857,0.0403674540500487,20.09265418498177
1,1,0.0784747880853472,0.044825887007098,21.170262709597143
1,2,0.036382874278652,0.0414925736164854,20.350610282426118
1,3,0.0254833677393053,0.0429113509674226,20.711526891839878
1,4,0.0176304578255381,0.0417653741615433,20.43171073275062
1,5,0.0149008998902694,0.041392988435203,20.33989963923088
2,1,0.0726305794932188,0.0417755965383783,20.435816330925665
2,2,0.0342059950794904,0.0404766022918685,20.10998202269522
2,3,0.0246084278464437,0.0411398780321882,20.27671803299176
2,4,0.0177493065580605,0.0404889539124504,20.109202753972884
2,5,0.0146890542424854,0.0404147091772287,20.097788735593447
3,1,0.0630626046819792,0.0424198903624088,20.600075938260748
3,2,0.0341526328495913,0.0417651968497422,20.438722159797333
3,3,0.0237526983893927,0.0410711141002755,20.26850704737987
3,4,0.0176086323072893,0.041198520891128,20.300169785264035
3,5,0.0149391570218628,0.0410892197321499,20.27290386460498
4,1,0.0732488295574101,0.0401588212097844,20.0385919169892
4,2,0.0336821600344152,0.0405703569732366,20.135776454068097
4,3,0.0234739600170043,0.0386061853458804,19.640454081396324
4,4,0.0172918287008219,0.0395833598750252,19.88824597295748
4,5,0.0138307871717599,0.0390844229128091,19.770876124355475
